Account Name,Website,Billing State/Province,Opportunity Owner,Close Date,Est. Annual Construction Volume Range,USD Total Delta ARR,# of Pipeline Opps,Entry Channel (Category)
OmniHome Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fomnihomepro.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://omnihomepro.com (New Window)"">http://omnihomepro.com</a>",CA,Jon Singer,2/10/2025,10M-20M,"20,432.04",1,Inbound
Florida Metal Building Service,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fflmetalbuildings.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://flmetalbuildings.com (New Window)"">http://flmetalbuildings.com</a>",FL,Michael Barminski,2/10/2025,20M-50M,"42,937.61",1,Inbound
Consensus Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.consensusconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.consensusconstruction.com (New Window)"">http://www.consensusconstruction.com</a>",SC,Greg Jackey,2/7/2025,10M-20M,"13,660.90",3,Outbound
"Garland Building Company, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.garlandboston.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.garlandboston.com/ (New Window)"">https://www.garlandboston.com/</a>",MA,Cole Sorvillo,2/7/2025,20M-50M,"28,537.11",3,Outbound
"Nansemond Lawn and Garden, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fnansemondcontractors.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://nansemondcontractors.com (New Window)"">http://nansemondcontractors.com</a>",VA,Jacob Buenaventura-Smith,2/7/2025,10M-20M,"35,351.86",1,Inbound
Mingle Contracting Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.minglecontracting.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.minglecontracting.com (New Window)"">http://www.minglecontracting.com</a>",PA,Michael Williams,2/6/2025,20M-50M,"58,520.71",3,Inbound
Venus Tile & Marble,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2F-%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://- (New Window)"">http://-</a>",NJ,Devin Beavers,2/6/2025,Less than 5M,"10,401.00",1,Inbound
SRQ cgc corp,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fsrqcorp.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://srqcorp.com (New Window)"">http://srqcorp.com</a>",FL,Caoilinn Mcdonough,2/6/2025,Less than 5M,"6,100.00",1,Inbound
"Sellers General Construction, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.sellersgeneralconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.sellersgeneralconstruction.com (New Window)"">http://www.sellersgeneralconstruction.com</a>",SC,Grey Monas,2/6/2025,10M-20M,"41,047.95",2,Outbound
Norco Construction Inc.,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.norcony.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.norcony.com/ (New Window)"">https://www.norcony.com/</a>",NY,Javier Gutierrez,2/5/2025,20M-50M,"20,000.00",4,Outbound
Edmonds Contracting Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2FNo%20Website%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://No Website (New Window)"">http://No Website</a>",NJ,Caoilinn Mcdonough,2/5/2025,10M-20M,"26,403.06",2,Outbound
Hall Construction LLC,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fhallconst.net%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://hallconst.net (New Window)"">http://hallconst.net</a>",TN,Parker Ornellas,2/5/2025,Less than 5M,"6,100.00",2,Unknown
Pal-Pro Builders,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.palprobuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.palprobuilders.com (New Window)"">http://www.palprobuilders.com</a>",NJ,Tyler Green,2/4/2025,20M-50M,"11,089.00",2,Inbound
Omega Contracting,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.omegagcmd.com%2Fcontact%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.omegagcmd.com/contact (New Window)"">https://www.omegagcmd.com/contact</a>",MD,Tyler Green,2/4/2025,5M-10M,"12,866.16",4,Outbound
Gallo Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fgallogc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://gallogc.com (New Window)"">http://gallogc.com</a>",NY,Cole Sorvillo,2/4/2025,10M-20M,"34,440.59",4,Outbound
The Rannigan Company,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2F-%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://- (New Window)"">http://-</a>",VA,Jacob Schramm,2/3/2025,5M-10M,"5,500.24",1,Inbound
Kingsley Builders,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fkingsleybuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://kingsleybuilders.com (New Window)"">http://kingsleybuilders.com</a>",CA,Steven Dreilinger,2/3/2025,Less than 5M,"14,241.00",3,Inbound
Global Go,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.globalgo.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.globalgo.com (New Window)"">http://www.globalgo.com</a>",FL,Steven Dreilinger,1/31/2025,20M-50M,"18,692.38",7,Inbound
HD Luxury Homes,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fhdluxuryhomes.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://hdluxuryhomes.com/ (New Window)"">https://hdluxuryhomes.com/</a>",CA,Grey Monas,1/31/2025,Less than 5M,"7,800.75",2,Inbound
"Shf International, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.shfcontracting.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.shfcontracting.com/ (New Window)"">https://www.shfcontracting.com/</a>",NV,Tyler Green,1/31/2025,20M-50M,"35,169.58",2,Outbound
"R. McKinley Construction, Inc.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.rmckinleyconstructioninc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.rmckinleyconstructioninc.com (New Window)"">http://www.rmckinleyconstructioninc.com</a>",CA,Jessee Ransone,1/31/2025,5M-10M,"13,475.33",1,Outbound
Sun Valley Builder,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fsunvalleybuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://sunvalleybuilders.com (New Window)"">http://sunvalleybuilders.com</a>",AZ,RJ Wenger,1/30/2025,20M-50M,"70,497.36",2,Outbound
New Vision Enterprise,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fnvenewengland.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://nvenewengland.com (New Window)"">http://nvenewengland.com</a>",MA,Moshup Galbraith,1/30/2025,Less than 5M,"9,669.00",1,Inbound
"ROK BUILDERS,  LLC.","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Frokbuilders.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://rokbuilders.com (New Window)"">http://rokbuilders.com</a>",MT,Austin Sims,1/30/2025,10M-20M,"21,905.00",1,Inbound
Holdfast,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fholdfast.build%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://holdfast.build (New Window)"">http://holdfast.build</a>",CA,Terence McNair,1/30/2025,5M-10M,"14,549.60",1,Inbound
Pure Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fpureccm.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://pureccm.com (New Window)"">http://pureccm.com</a>",IN,Terence McNair,1/30/2025,5M-10M,"9,762.10",1,Outbound
BTC Builders,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fbtcbuildersinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://btcbuildersinc.com (New Window)"">http://btcbuildersinc.com</a>",CA,Max Morgenson,1/30/2025,20M-50M,"42,990.83",1,Outbound
Elite Medical Construction,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.elitemedicalconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.elitemedicalconstruction.com/ (New Window)"">https://www.elitemedicalconstruction.com/</a>",CA,Greg Jackey,1/29/2025,Less than 5M,"9,921.00",1,Inbound
TCON Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fadding%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://adding (New Window)"">http://adding</a>",OR,Terence McNair,1/29/2025,5M-10M,"17,905.00",1,Outbound
Streicher Construction Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fstreicherconstruction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://streicherconstruction.com (New Window)"">http://streicherconstruction.com</a>",IN,RJ Wenger,1/29/2025,5M-10M,"15,603.06",2,Outbound
"Global Power Group, Inc.","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fglobalpowergroup.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://globalpowergroup.com/ (New Window)"">https://globalpowergroup.com/</a>",CA,Javier Gutierrez,1/28/2025,10M-20M,"35,264.30",2,Inbound
"Good Home Maintenance, Inc. (GHM, INC)","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.ghminc.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.ghminc.com/ (New Window)"">http://www.ghminc.com/</a>",OH,Tayler Macomber,1/28/2025,5M-10M,"13,904.00",1,Unknown
William Construction Corporation,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fwww.willis-construction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://www.willis-construction.com/ (New Window)"">https://www.willis-construction.com/</a>",,Tyler Green,1/28/2025,5M-10M,"12,995.00",1,Outbound
Iron City Developers,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2FNo%20website%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://No website (New Window)"">http://No website</a>",AL,Caoilinn Mcdonough,1/28/2025,Less than 5M,"5,500.98",2,Inbound
"MRJ Constructors, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.mrjconstructors.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.mrjconstructors.com/ (New Window)"">http://www.mrjconstructors.com/</a>",WA,Max Morgenson,1/27/2025,20M-50M,"39,733.01",4,Outbound
Farrar & Associates,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.farrarassociates.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.farrarassociates.com (New Window)"">http://www.farrarassociates.com</a>",RI,Steven Dreilinger,1/27/2025,50M-100M,"18,537.75",1,Inbound
Burke Property Services Corporation,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fburkepropertyservices.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://burkepropertyservices.com (New Window)"">http://burkepropertyservices.com</a>",MA,Moshup Galbraith,1/27/2025,5M-10M,"8,320.80",1,Inbound
"Zertuche Construction, LLC","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.zertucheconstruction.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.zertucheconstruction.com/ (New Window)"">http://www.zertucheconstruction.com/</a>",TX,Liam Duddy,1/27/2025,5M-10M,"11,905.00",1,Inbound
Dmyles Inc,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.dmylesinc.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.dmylesinc.com (New Window)"">http://www.dmylesinc.com</a>",NY,Devin Beavers,1/24/2025,10M-20M,"22,614.57",1,Inbound
Nelson Brothers Construction Company,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.nelsonbros.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.nelsonbros.com/ (New Window)"">http://www.nelsonbros.com/</a>",UT,Moshup Galbraith,1/24/2025,10M-20M,"17,976.00",3,Inbound
"Empower Group Consultants, LLC","<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fempowerconsultantgroup.com%2F%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://empowerconsultantgroup.com/ (New Window)"">https://empowerconsultantgroup.com/</a>",FL,Madison Tedesco,1/23/2025,Less than 5M,"17,010.00",1,Inbound
"i2 Construction, LLP","<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fwww.i2construction.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://www.i2construction.com (New Window)"">http://www.i2construction.com</a>",CO,Caoilinn Mcdonough,1/22/2025,50M-100M,"72,885.69",2,Outbound
Facilities Contracting,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Ffacilitiescontracting.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://facilitiescontracting.com (New Window)"">http://facilitiescontracting.com</a>",CO,Tyler Green,1/22/2025,20M-50M,"30,764.30",5,Outbound
Mantis Innovation,"<a href=""javascript:openPopupFocus%28%27https%3A%2F%2Fmantisinnovation.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""https://mantisinnovation.com (New Window)"">https://mantisinnovation.com</a>",TX,Michael Williams,1/22/2025,20M-50M,"16,066.05",3,Inbound
Intersect Construction,"<a href=""javascript:openPopupFocus%28%27http%3A%2F%2Fintersect-group.com%27%2C%20%27_blank%27%2C%20620%2C%20430%2C%20%27width%3D620%2Cheight%3D430%2Cresizable%3Dyes%2Ctoolbar%3Dyes%2Cstatus%3Dyes%2Cscrollbars%3Dyes%2Cmenubar%3Dyes%2Cdirectories%3Dyes%2Clocation%3Dyes%2Cdependant%3Dno%27%2C%20false%2C%20true%29%3B"" title=""http://intersect-group.com (New Window)"">http://intersect-group.com</a>",GA,Connor Fulk,1/22/2025,20M-50M,"23,688.51",1,Inbound
